varnum,type,Column Type
V792,num,Category
V793,num,Category
V794,num,Category
V795,num,Category
V796,num,Category
V797,num,Category
V798,num,Category
V799,num,Category
V800,num,Category
V801,num,Category
V802,num,Category
V803,num,Category
V804,num,Category
V805,num,Category
V806,num,Category
V807,num,Category
V808,num,Category
V809,num,Category
V810,num,Category
V811,num,Category
V812,num,Category
V813,num,Category
V814,num,Category
V815,num,Category
V816,num,Category
V817,num,Category
V818,num,Category
V819,num,Category
V820,num,Category
V821,num,Category
V822,num,Category
V823,num,Category
V824,num,Category
V825,num,Category
V826,num,Category
V827,num,Category
V828,num,Category
V829,num,Category
V830,num,Category
V831,num,Category
V832,num,Category
V833,num,Category
V834,num,Category
V835,num,Category
V836,num,Category
V837,num,Category
V838,num,Category
V839,num,Category
V840,num,Category
V841,num,Category
V842,num,Category
V843,num,Category
V844,num,Category
V845,num,Category
V846,num,Category
V847,num,Category
V848,num,Category
V849,num,Category
V850,num,Category
V851,num,Category
V852,num,Category
V853,num,Category
V854,num,Category
V855,num,Category
V856,num,Category
V857,num,Category
V858,num,Category
V859,num,Category
V860,num,Category
V861,num,Category
V862,num,Category
V863,num,Category
V864,num,Category
V865,num,Category
V866,num,Category
V867,num,Category
V868,num,Category
V869,num,Category
V870,num,Category
V871,num,Category
V872,num,Category
V873,num,Category
V874,num,Category
V875,num,Category
V876,num,Category
V877,num,Category
V878,num,Category
V879,num,Category
V880,num,Category
V881,num,Category
V882,num,Category
V883,num,Category
V884,num,Category
V885,num,Category
V886,num,Category
V887,num,Category
V888,num,Category
V889,num,Category
V890,num,Category
V891,num,Category
V892,num,Category
V893,num,Category
V894,num,Category
V895,num,Category
V896,num,Category
V897,num,Category
V898,num,Category
V899,num,Category
V900,num,Category
V901,num,Category
V902,num,Category
V903,num,Category
V904,num,Category
V905,num,Category
V906,num,Category
V907,num,Category
V908,num,Category
V909,num,Category
V910,num,Category
V911,num,Category
V912,num,Category
V913,num,Category
V914,num,Category
V915,num,Category
V916,num,Category
V917,num,Category
V918,num,Category
V919,num,Category
V920,num,Category
V921,num,Category
V922,num,Category
V923,num,Category
V924,num,Category
V925,num,Category
V926,num,Category
V927,num,Category
V928,num,Category
V929,num,Category
V930,num,Category
V931,num,Category
V932,num,Category
V933,num,Category
V934,num,Category
V935,num,Category
V936,num,Category
V937,num,Category
V938,num,Category
V939,num,Category
V940,num,Category
V941,num,Category
V942,num,Category
V943,num,Category
V944,num,Category
V945,num,Category
V946,num,Category
V947,num,Category
V948,num,Category
V949,num,Category
V950,num,Category
V951,num,Category
V952,num,Category
V953,num,Category
V954,num,Category
V955,num,Category
V956,num,Category
V957,num,Category
V958,num,Category
V959,num,Category
V960,num,Category
V961,num,Category
V962,num,Category
V963,num,Category
V964,num,Category
V965,num,Category
V966,num,Category
V967,num,Category
V968,num,Category
V969,num,Category
V970,num,Category
V971,num,Category
V972,num,Category
V973,num,Category
V974,num,Category
V975,num,Category
V976,num,Category
V977,num,Category
V978,num,Category
V979,num,Category
V980,num,Category
V981,num,Category
V982,num,Category
V983,num,Category
V984,num,Category
V985,num,Category
V986,num,Category
V987,num,Category
V988,num,Category
V989,num,Category
V990,num,Category
V991,num,Category
V992,num,Category
V993,num,Category
V994,num,Category
V995,num,Category
V996,num,Category
V997,num,Category
V998,num,Category
V999,num,Category
V1000,num,Category
V1001,num,Category
V1002,num,Category
V1003,num,Category
V1004,num,Category
V1005,num,Category
V1006,num,Category
V1007,num,Category
V1008,num,Category
V1009,num,Category
V1010,num,Category
V1011,num,Category
V1012,num,Category
V1013,num,Category
V1014,num,Category
V1015,num,Category
V1016,num,Category
V1017,num,Category
V1018,num,Category
V1019,num,Category
V1020,num,Category
V1021,num,Category
V1022,num,Category
V1023,num,Category
V1024,num,Category
V1025,num,Category
V1026,num,Category
V1027,num,Category
V1028,num,Category
V1029,num,Category
V1030,num,Category
V1031,num,Category
V1032,num,Category
V1033,num,Category
V1034,num,Category
V1035,num,Category
V1036,num,Category
V1037,num,Category
V1038,num,Category
V1039,num,Category
V1040,num,Category
V1041,num,Category
V1042,num,Category
V1043,num,Category
V1044,num,Category
V1045,num,Category
V1046,num,Category
V1047,num,Category
V1048,num,Category
V1049,num,Category
V1050,num,Category
V1051,num,Category
V1052,num,Category
V1053,num,Category
V1054,num,Category
V1055,num,Category
V1056,num,Category
V1057,num,Category
V1058,num,Category
V1059,num,Category
V1060,num,Category
V1061,num,Category
V1062,num,Category
V1063,num,Category
V1064,num,Category
V1065,num,Category
V1066,num,Category
V1067,num,Category
V1068,num,Category
V1069,num,Category
V1070,num,Category
V1071,num,Category
V1072,num,Category
V1073,num,Category
V1074,num,Category
V1075,num,Category
V1076,num,Category
V1077,num,Category
V1078,num,Category
V1079,num,Category
V1080,num,Category
V1081,num,Category
V1082,num,Category
V1083,num,Category
V1084,num,Category
V1085,num,Category
V1086,num,Category
V1087,num,Category
V1088,num,Category
V1089,num,Category
V1090,num,Category
V1091,num,Category
V1092,num,Category
V1093,num,Category
V1094,num,Category
V1095,num,Category
V1096,num,Category
V1097,num,Category
V1098,num,Category
V1099,num,Category
V1100,num,Category
V1101,num,Category
V1102,num,Category
V1103,num,Category
V1104,num,Category
V1105,num,Category
V1106,num,Category
V1107,num,Category
V1108,num,Category
V1109,num,Category
V1110,num,Category
V1111,num,Category
V1112,num,Category
V1113,num,Category
V1114,num,Category
V1115,num,Category
V1116,num,Category
V1117,num,Category
V1118,num,Category
V1119,num,Category
V1120,num,Category
V1121,num,Category
V1122,num,Category
V1123,num,Category
V1124,num,Category
V1125,num,Category
V1126,num,Category
V1127,num,Category
V1128,num,Category
V1129,num,Category
V1130,num,Category
V1131,num,Category
V1132,num,Category
V1133,num,Category
V1134,num,Category
V1135,num,Category
V1136,num,Category
V1137,num,Category
V1138,num,Category
V1139,num,Category
V1140,num,Category
V1141,num,Category
V1142,num,Category
V1143,num,Category
V1144,num,Category
V1145,num,Category
V1146,num,Category
V1147,num,Category
V1148,num,Category
V1149,num,Category
V1150,num,Category
V1151,num,Category
V1152,num,Category
V1153,num,Category
V1154,num,Category
V1155,num,Category
V1156,num,Category
V1157,num,Category
V1158,num,Category
V1159,num,Category
V1160,num,Category
V1161,num,Category
V1162,num,Category
V1163,num,Category
V1164,num,Category
V1165,num,Category
V1166,num,Category
V1167,num,Category
V1168,num,Category
V1169,num,Category
V1170,num,Category
V1171,num,Category
V1172,num,Category
V1173,num,Category
V1174,num,Category
V1175,num,Category
V1176,num,Category
V1177,num,Category
V1178,num,Category
V1179,num,Category
V1180,num,Category
V1181,num,Category
V1182,num,Category
V1183,num,Category
V1184,num,Category
V1185,num,Category
V1186,num,Category
V1187,num,Category
V1188,num,Category
V1189,num,Category
V1190,num,Category
V1191,num,Category
V1192,num,Category
V1193,num,Category
V1194,num,Category
V1195,num,Category
V1196,num,Category
V1197,num,Category
V1198,num,Category
V1199,num,Category
V1200,num,Category
V1201,num,Category
V1202,num,Category
V1203,num,Category
V1204,num,Category
V1205,num,Category
V1206,num,Category
V1207,num,Category
V1208,num,Category
V1209,num,Category
V1210,num,Category
V1211,num,Category
V1212,num,Category
V1213,num,Category
V1214,num,Category
V1215,num,Category
V1216,num,Category
V1217,num,Category
V1218,num,Category
V1219,num,Category
V1220,num,Category
V1221,num,Category
V1222,num,Category
V1223,num,Category
V1224,num,Category
V1225,num,Category
V1226,num,Category
V1227,num,Category
V1228,num,Category
V1229,num,Category
V1230,num,Category
V1231,num,Category
V1232,num,Category
V1233,num,Category
V1234,num,Category
V1235,num,Category
V1236,num,Category
V1237,num,Category
V1238,num,Category
V1239,num,Category
V1240,num,Category
V1241,num,Category
V1242,num,Category
V1243,num,Category
V1244,num,Category
V1245,num,Category
V1246,num,Category
V1247,num,Category
V1248,num,Category
V1249,num,Category
V1250,num,Category
V1251,num,Category
V1252,num,Category
V1253,num,Category
V1254,num,Category
V1255,num,Category
V1256,num,Category
V1257,num,Category
V1258,num,Category
V1259,num,Category
V1260,num,Category
V1261,num,Category
V1262,num,Category
V1263,num,Category
V1264,num,Category
V1265,num,Category
V1266,num,Category
V1267,num,Category
V1268,num,Category
V1269,num,Category
V1270,num,Category
V1271,num,Category
V1272,num,Category
V1273,num,Category
V1274,num,Category
V1275,num,Category
V1276,num,Category
V1277,num,Category
V1278,num,Category
V1279,num,Category
V1280,num,Category
V1281,num,Category
V1282,num,Category
V1283,num,Category
V1284,num,Category
V1285,num,Category
V1286,num,Category
V1287,num,Category
V1288,num,Category
V1289,num,Category
V1290,num,Category
V1291,num,Category
V1292,num,Category
V1293,num,Category
V1294,num,Category
V1295,num,Category
V1296,num,Category
V1297,num,Category
V1298,num,Category
V1299,num,Category
V1300,num,Category
V1301,num,Category
V1302,num,Category
V1303,num,Category
V1304,num,Category
V1305,num,Category
V1306,num,Category
V1307,num,Category
V1308,num,Category
V1309,num,Category
V1310,num,Category
V1311,num,Category
V1312,num,Category
V1313,num,Category
V1314,num,Category
V1315,num,Category
V1316,num,Category
V1317,num,Category
V1318,num,Category
V1319,num,Category
V1320,num,Category
V1321,num,Category
V1322,num,Category
V1323,num,Category
V1324,num,Category
V1325,num,Category
V1326,num,Category
V1327,num,Category
V1328,num,Category
V1329,num,Category
V1330,num,Category
V1331,num,Category
