id,f1,f2,f3,f4,f5,f6,f7,f8,f9
60,3052,1761,56,142,175,0,2066,50,0
61,4316,2541,56,158,348,162,893,50,165
62,6227,695,37,95,268,189,940,9,193
63,7385,500,37,44,304,19,2087,27,23
64,6534,395,56,33,400,249,893,50,248
65,7094,1314,56,57,312,249,2159,50,248
66,229,1926,74,101,176,20,669,4,24
67,66,3963,37,44,428,13,878,65,15
68,2051,3363,56,158,200,82,289,19,85
69,5197,579,56,142,305,241,1033,8,240
70,2948,2375,56,33,440,249,893,50,248
71,5099,2326,97,133,416,95,893,2,97
72,3645,1874,56,99,321,175,1444,4,188
73,3674,2084,71,103,376,186,1307,66,190
74,946,105,56,43,155,125,2087,27,130
75,4167,1572,56,142,430,162,893,50,165
76,6887,2774,3,2,271,258,1098,9,258
77,5742,3197,45,52,219,156,895,66,113
78,562,1044,56,16,270,249,893,50,248
79,5311,1134,56,33,211,290,114,48,69
80,3957,3371,56,99,8,162,893,50,165
81,3957,2518,56,142,318,91,726,4,93
82,39,286,34,163,108,144,1339,56,149
83,204,1624,56,5,311,193,373,43,197
84,5514,4206,31,91,296,162,893,50,165
85,5306,2860,74,101,69,330,1878,8,329
86,435,1094,74,101,283,330,562,8,329
87,377,3599,112,152,359,20,1780,4,24
88,1098,1593,112,152,78,162,652,50,165
89,5882,1881,56,158,125,337,1618,22,337
90,4887,1397,56,43,327,162,893,50,165
91,3207,2416,56,16,329,162,1193,50,165
92,730,2483,3,2,276,33,661,8,37
93,6200,1557,80,110,330,269,474,4,268
94,953,3019,56,57,326,325,2122,21,324
95,2209,3000,56,33,202,231,652,50,231
96,5229,2918,56,70,31,341,274,21,341
97,1120,1193,56,16,156,162,893,50,165
98,3506,259,56,16,201,329,1227,18,328
99,974,2728,67,85,240,160,798,0,163
100,1676,2401,56,5,376,162,1088,50,165
101,562,1697,56,16,36,0,1571,50,0
102,410,2787,74,101,298,315,2054,56,315
103,4069,439,56,158,372,0,893,50,0
104,3967,804,37,44,355,113,566,25,119
105,4312,823,56,142,423,0,893,50,0
106,1376,3703,94,128,216,154,995,0,158
107,3999,3258,121,96,268,298,1120,9,300
108,105,1847,88,120,268,222,978,9,222
109,5637,328,56,5,207,249,893,50,248
110,557,602,56,16,345,0,893,50,0
111,3600,3900,17,23,154,300,736,21,301
112,5670,3467,71,103,107,162,936,50,165
113,5105,2531,56,142,157,8,726,4,9
114,715,3772,56,142,157,249,1193,50,248
115,2528,2023,56,158,215,162,893,50,165
116,6594,932,91,165,222,159,895,66,162
117,5632,1803,56,99,20,308,114,48,250
118,5257,3371,56,99,56,0,893,50,0
119,368,3940,56,142,90,249,893,50,248
120,5258,2661,11,14,172,255,2214,15,255
121,4559,2757,3,2,203,33,2157,8,37
122,3714,1410,56,33,437,325,274,21,324
123,5941,1479,56,158,171,176,34,5,104
124,3603,2839,56,142,223,155,637,48,159
125,1687,2821,56,99,20,325,274,21,324
126,1507,2482,56,72,128,112,2003,6,118
127,4913,3412,37,95,241,236,1196,24,235
128,7456,1230,56,5,45,173,806,4,176
129,2454,3927,56,142,239,162,893,50,165
130,7280,747,56,70,31,162,1193,50,165
131,39,3117,56,5,436,249,893,50,248
132,1507,814,56,33,226,247,1307,26,246
133,5382,951,56,72,396,302,791,39,303
134,3999,2940,56,5,237,266,2090,65,265
135,382,1516,39,20,233,39,24,55,42
136,1376,3877,94,128,216,154,1221,0,158
137,1507,1146,31,91,325,162,893,50,165
138,6065,3175,121,96,205,169,1278,24,172
139,6191,892,56,158,74,48,1618,22,51
140,2826,702,56,70,165,329,1341,18,328
141,976,704,58,75,219,299,1486,0,112
142,4897,836,37,44,295,162,893,50,165
143,529,378,56,16,270,325,114,21,324
144,241,3307,112,152,372,162,854,50,165
145,204,430,56,5,423,276,2087,27,276
146,953,3640,56,142,175,249,1193,50,248
147,3957,2647,56,142,276,274,563,4,274
148,7517,1000,75,102,205,36,2206,24,40
149,4746,1360,56,5,116,325,960,21,324
150,7362,2798,74,101,40,244,619,4,243
151,3876,1133,56,158,372,317,1727,50,171
152,3927,985,56,70,412,175,2217,4,188
153,1788,647,56,57,426,162,893,50,165
154,2018,881,56,5,237,17,44,65,20
155,5197,183,56,5,404,33,1914,8,37
156,1668,3047,56,16,374,325,274,21,324
157,2522,2401,56,5,376,247,1307,26,246
158,2065,3938,56,70,350,296,1079,33,298
159,2802,914,56,99,8,249,1193,50,248
160,204,896,56,158,74,194,1095,66,198
161,1034,747,56,70,31,249,893,50,248
162,5598,1312,56,33,211,0,893,50,0
163,800,1710,56,5,87,47,1695,23,50
164,1507,3797,56,33,146,162,893,50,165
165,1217,1712,50,59,216,156,900,66,113
166,5812,3583,59,76,233,39,2309,55,42
167,953,495,56,142,10,194,1671,66,198
168,171,413,56,142,423,0,893,50,0
169,5311,1641,56,142,32,8,726,4,9
170,5837,372,56,70,335,162,893,50,165
171,3977,613,83,113,240,156,1420,66,113
172,1973,430,56,5,90,240,807,66,178
173,5563,1385,56,5,120,162,893,50,165
174,1696,3665,56,5,338,249,893,50,248
175,1116,1597,56,16,308,105,32,40,108
176,1120,4156,32,138,270,162,1193,50,165
177,6692,551,56,158,215,249,893,50,248
178,5599,106,56,43,351,0,1193,50,0
179,6175,122,56,43,327,249,893,50,248
180,1078,2385,31,91,272,217,1597,27,218
181,7142,1126,56,16,270,249,893,50,248
182,5213,549,56,43,228,249,893,50,248
183,5300,2267,56,142,419,274,1732,4,274
184,2326,3101,62,80,6,72,1814,39,76
185,3477,1708,56,142,376,249,893,50,248
186,1744,4100,56,16,270,249,893,50,248
187,5465,2699,56,5,206,269,1505,4,268
188,123,4165,37,44,4,19,2087,27,23
189,6882,1947,9,11,296,0,893,50,0
190,4040,649,60,159,240,154,881,0,158
191,670,3216,56,33,349,162,893,50,165
192,120,1747,121,96,268,189,1043,9,193
193,1187,4109,110,151,133,240,692,66,178
194,2837,2249,56,142,157,269,1505,4,268
195,953,2334,56,33,160,341,274,21,341
196,6283,2184,31,91,138,162,893,50,165
197,1363,3173,56,57,414,261,1112,5,260
198,5217,1844,56,158,314,337,2349,22,337
199,2519,1782,56,5,421,325,960,21,324
200,3893,3942,56,5,338,296,68,33,298
201,5091,2869,56,57,426,249,893,50,248
202,5311,2075,56,99,412,155,942,48,159
203,3961,2148,5,4,73,269,2339,4,268
204,5730,4096,35,39,216,154,879,0,158
205,5576,2722,124,68,222,154,2229,0,158
206,3916,1761,56,142,175,249,893,50,248
207,6191,1747,121,96,268,189,1043,9,193
208,3718,2467,56,16,369,125,2030,27,130
209,5465,1926,74,101,176,20,669,4,24
210,3052,3986,56,5,93,162,893,50,165
211,2239,1041,56,16,270,249,893,50,248
212,5305,2306,56,142,318,269,1505,4,268
213,3912,3685,56,33,211,247,1307,26,246
214,7088,1400,56,33,198,162,893,50,165
215,4924,859,56,16,373,125,1652,27,130
216,6174,927,56,16,428,310,144,65,310
217,5069,593,56,99,20,308,114,48,250
218,5308,1642,56,5,34,5,2118,4,6
219,223,1172,56,5,45,242,898,4,241
220,2108,2535,67,85,259,156,881,66,113
221,7170,3001,56,99,247,101,1189,13,103
222,1978,2801,3,2,419,242,1135,4,241
223,3961,2586,56,142,276,270,488,4,270
224,5600,3798,56,5,210,249,893,50,248
225,475,2114,56,57,70,162,1193,50,165
226,6727,2584,56,5,359,173,114,4,176
227,1365,2266,27,35,216,154,879,0,158
228,1521,592,56,33,379,0,2258,50,0
229,4912,2999,121,96,41,37,638,24,49
230,5300,461,56,99,67,31,1241,65,156
231,2456,1189,71,103,288,144,2158,56,149
232,6286,2223,56,158,348,249,893,50,248
233,2245,1222,40,86,233,299,847,0,112
234,4620,430,56,5,90,76,2285,28,80
235,6534,2443,56,5,166,315,38,56,315
236,90,495,56,5,10,194,1078,66,198
237,3478,1108,70,94,341,194,512,66,198
238,1128,3181,56,43,228,249,1081,50,248
239,6534,2350,31,91,288,44,761,1,46
240,5947,1872,7,61,357,57,389,3,60
241,2454,3655,56,5,448,249,893,50,248
242,4913,3410,37,95,241,37,638,24,49
243,1342,2992,56,43,362,249,893,50,248
244,2073,2932,9,65,379,110,1250,29,115
245,6664,3770,45,52,150,240,895,66,178
246,5110,1234,112,152,426,18,829,46,21
247,2837,2490,56,142,98,249,893,50,248
248,1120,2367,56,5,90,162,1193,50,165
249,6422,1001,56,70,99,121,1139,20,127
250,1120,4156,72,138,270,162,893,50,165
251,2536,3248,100,137,205,191,168,66,195
252,7020,3628,56,70,99,104,566,20,107
253,1733,1894,56,5,359,8,563,4,9
254,1731,3294,88,120,355,159,758,66,162
255,3645,1990,56,142,346,305,44,65,306
256,5498,859,56,16,284,336,2087,27,336
257,5603,1070,37,44,213,164,1307,26,166
258,2110,368,37,95,241,236,1196,24,235
259,7429,1702,56,16,182,162,1193,50,165
260,2456,2209,56,142,157,334,726,4,334
261,1216,2795,22,30,109,173,187,4,176
262,953,2647,56,142,276,274,563,4,274
263,5395,2528,56,158,314,295,1618,22,297
264,5257,3935,56,158,348,0,1189,50,0
265,1254,3484,13,60,240,299,886,0,112
266,704,2737,22,30,375,20,1780,4,24
267,5465,2174,74,101,316,269,732,4,268
268,559,2779,56,142,157,162,893,50,165
269,31,3367,115,155,240,154,881,0,158
270,2278,2909,37,44,165,162,893,50,165
271,158,367,56,70,31,162,893,50,165
272,3956,1256,56,43,212,27,1227,18,32
273,3369,2306,56,142,318,269,1505,4,268
274,6198,1385,56,5,120,0,893,50,0
275,529,3704,56,16,270,162,893,50,165
276,4327,122,56,43,327,0,1193,50,0
277,3957,3142,56,142,237,31,2090,65,156
278,1083,2507,38,135,216,340,325,42,340
279,401,1084,56,5,161,162,893,50,165
280,7269,1844,56,158,314,48,1426,22,51
281,562,4074,56,16,377,189,1175,9,193
282,3957,132,100,137,357,315,1607,56,315
283,3420,1152,56,16,201,329,1227,18,328
284,7456,3411,56,142,6,323,239,39,211
285,3961,630,5,4,73,8,445,4,9
286,2615,115,56,142,387,0,2258,50,0
287,2125,1033,56,43,187,162,893,50,165
288,6132,3903,56,158,215,278,1624,53,278
289,5759,4181,56,57,238,247,1307,26,246
290,7359,3469,56,43,327,249,1193,50,248
291,6235,2101,56,5,2,341,274,21,341
292,4732,2448,56,158,407,162,1193,50,165
293,6534,4094,22,30,9,330,434,8,329
294,472,430,56,5,90,336,2087,27,336
295,6316,3202,56,43,228,249,893,50,248
296,2543,2414,95,129,390,67,593,58,295
297,4168,189,56,33,437,271,501,38,271
298,2884,2440,56,142,15,238,893,50,237
299,2947,2023,56,158,215,249,1081,50,248
300,5216,3682,56,158,254,48,1618,22,51
301,562,1021,56,16,36,231,1735,50,231
302,714,3701,13,174,219,156,895,66,113
303,6534,575,51,62,268,189,939,9,193
304,4998,1121,56,57,414,162,893,50,165
305,3693,3665,56,5,338,249,893,50,248
306,6121,1643,56,5,359,8,1732,4,9
307,7242,1276,56,16,37,249,2236,50,248
308,248,387,56,142,175,249,893,50,248
309,6456,135,56,158,348,249,893,50,248
310,3268,1159,56,33,370,285,2275,51,287
311,3820,191,100,137,195,218,229,57,219
312,5382,843,56,57,234,34,592,39,38
313,7456,2897,51,62,241,236,9,24,235
314,4598,1810,56,5,423,0,893,50,0
315,2456,2565,95,129,175,8,717,4,9
316,2562,2714,56,16,374,301,384,20,302
317,2423,2326,97,133,416,6,893,2,7
318,4550,151,56,142,15,194,1598,66,198
319,1095,47,84,114,158,162,371,50,165
320,5308,488,56,5,69,242,1737,4,241
321,2451,3989,56,33,440,249,893,50,248
322,5725,1503,60,77,219,156,895,66,113
323,3925,38,51,62,268,192,679,9,196
324,39,650,56,5,288,144,1105,56,149
325,1428,3461,56,99,238,162,893,50,165
326,4221,250,100,137,292,169,1211,24,172
327,73,2585,7,7,248,304,2203,58,305
328,758,990,56,16,373,93,506,65,95
329,213,3739,56,5,399,193,1804,43,197
330,3820,2136,35,39,216,299,1586,0,112
331,1440,296,101,141,205,36,1633,24,40
332,2901,3679,56,70,335,162,893,50,165
333,4034,3144,56,158,320,144,1513,56,149
334,2706,982,101,141,205,36,2178,24,40
335,2318,3426,88,120,258,249,893,50,248
336,187,216,56,5,448,249,893,50,248
337,3961,2641,56,5,359,241,1033,8,240
338,6222,442,56,142,346,305,943,65,306
339,5684,2751,22,30,27,17,943,65,20
340,1827,3963,37,44,428,13,878,65,15
341,1654,1407,123,170,205,36,1633,24,40
342,12,2697,56,16,168,144,1488,56,149
343,7457,1200,50,59,418,315,2110,56,315
344,1809,2653,56,142,63,341,274,21,341
345,502,2892,56,70,39,287,384,20,290
346,1120,1270,56,33,202,0,1189,50,0
347,2892,2378,31,91,296,221,682,26,221
348,6488,1028,56,43,228,317,1883,50,171
349,2820,1555,9,11,95,341,274,21,341
350,6982,3919,56,158,372,162,1193,50,165
351,6572,1154,56,99,8,162,1193,50,165
352,7200,4135,69,92,368,341,1583,21,341
353,1034,1634,56,70,31,249,893,50,248
354,5742,266,45,52,219,156,895,66,113
355,222,2998,37,95,391,37,638,24,49
356,4625,2853,56,142,207,249,893,50,248
357,6341,450,56,5,161,249,1193,50,248
358,4012,3880,56,142,297,240,1095,66,178
359,1120,2991,56,43,228,0,435,50,0
360,1809,1452,71,103,383,276,2087,27,276
361,2892,588,56,99,267,196,224,45,209
362,6599,2120,36,41,222,159,798,66,162
363,5950,1398,56,16,218,249,893,50,248
364,3957,419,112,152,320,144,329,56,149
365,1451,190,56,33,226,238,1535,50,237
366,6152,191,37,95,195,218,1665,57,219
367,3253,3005,56,5,399,162,893,50,165
368,1120,3514,56,142,51,341,274,21,341
369,5767,361,58,75,415,299,641,0,112
370,3689,2915,18,24,327,249,893,50,248
371,5009,1557,80,110,330,242,1039,4,241
372,7038,2596,56,142,157,242,187,4,241
373,3576,896,56,158,74,194,1671,66,198
374,3277,551,56,158,215,249,893,50,248
375,929,2415,56,158,348,249,893,50,248
376,5545,1150,56,99,269,30,1181,26,35
377,2543,1938,71,103,56,240,2087,66,178
378,557,4174,56,16,37,325,2164,21,324
379,3957,2210,27,35,216,154,879,0,158
380,6891,191,100,137,195,218,229,57,219
381,3154,3268,45,52,219,156,895,66,113
382,6221,720,37,44,284,25,1888,65,30
383,1441,440,121,96,442,37,638,24,49
384,2837,2083,56,99,432,162,893,50,165
385,6341,452,22,30,161,249,893,50,248
386,5730,4203,40,130,405,240,2051,66,178
387,4065,1807,56,33,379,32,62,40,36
388,7270,3278,56,142,355,0,893,50,0
389,2628,284,97,133,416,114,1070,2,120
390,2684,2228,56,5,413,155,1974,48,159
391,1733,1909,56,5,413,33,1914,8,37
392,6853,2999,121,96,41,37,638,24,49
393,1883,3916,31,91,296,0,435,50,0
394,5266,1839,31,91,138,249,893,50,248
395,1886,920,39,46,6,4,1461,39,5
396,3165,112,56,33,440,249,893,50,248
397,6330,2089,56,70,354,162,893,50,165
398,3120,3935,56,158,348,249,893,50,248
399,1067,2584,56,5,359,308,1819,48,250
400,2517,3241,1,0,111,162,893,50,165
401,3323,1152,56,16,201,325,126,21,324
402,5554,234,56,142,139,0,2066,50,0
403,1120,3940,56,5,90,162,1214,50,165
404,2366,801,56,158,215,249,893,50,248
405,6380,1039,56,99,20,162,893,50,165
406,224,3743,56,142,140,144,701,56,149
407,7509,2709,112,152,141,102,1914,4,105
408,4703,331,56,5,90,249,893,50,248
409,4040,2668,117,156,299,154,879,0,158
410,5621,1157,17,23,216,57,863,3,60
411,5309,1292,112,152,83,51,1739,34,54
412,2169,3278,56,142,423,0,1924,50,0
413,5743,2239,40,130,240,299,886,0,112
414,4941,1634,56,70,31,0,893,50,0
415,70,1129,56,70,31,329,1341,18,328
416,612,2219,35,39,216,299,1586,0,112
417,4943,3767,56,70,335,162,893,50,165
418,1809,450,56,5,161,162,331,50,165
419,6910,1940,56,43,265,207,2285,28,181
420,3715,2233,112,152,404,330,1914,8,329
421,6920,4164,56,33,440,247,1307,26,246
422,5524,3082,13,60,233,299,2128,0,112
423,709,1983,56,5,260,321,2158,56,322
424,4223,1600,56,43,351,162,893,50,165
425,1189,635,41,48,365,154,1951,0,158
426,5941,690,81,111,219,299,886,0,112
427,3712,2911,56,142,376,164,1307,26,166
428,4040,2617,81,111,219,154,881,0,158
429,4071,2037,56,142,376,162,893,50,165
430,2454,2647,56,142,276,91,726,4,93
431,6882,849,56,33,447,201,785,39,180
432,6490,4216,112,167,341,19,1176,27,23
433,5724,765,39,46,240,156,895,66,113
434,3645,4053,56,5,2,249,1193,50,248
435,1034,1129,56,70,165,27,1341,18,32
436,1931,3488,99,135,216,156,900,66,113
437,5311,3870,0,27,268,189,939,9,193
438,7297,1001,56,70,99,121,11,20,127
439,6307,2922,56,5,120,249,893,50,248
440,2549,2023,56,158,215,249,893,50,248
441,4523,2479,56,142,355,290,114,48,69
442,7347,3913,56,5,448,317,1310,50,171
443,1369,1745,81,111,240,299,191,0,112
444,2797,2299,56,5,82,0,893,50,0
445,5441,895,81,111,233,209,500,58,210
446,6588,899,56,5,311,1,1637,4,1
447,5846,3622,56,33,410,341,274,21,341
448,1641,1614,56,70,282,162,1193,50,165
449,1,44,56,16,37,249,893,50,248
450,3864,907,56,16,345,162,893,50,165
451,2918,1020,56,142,376,249,893,50,248
452,6192,619,56,142,175,249,893,50,248
453,4421,487,56,43,362,231,461,50,231
454,1023,3721,101,141,205,36,1785,24,40
455,2456,2626,56,142,157,269,1505,4,268
456,2521,11,56,43,327,0,893,50,0
457,1120,1705,56,158,348,162,893,50,165
458,5614,1752,50,59,216,154,879,0,158
459,3410,3518,56,33,211,249,893,50,248
460,6670,1549,56,43,228,249,893,50,248
461,6227,2810,56,158,83,171,1641,34,174
462,557,3440,56,16,313,249,893,50,248
463,5770,2312,99,98,73,8,2339,4,9
464,4170,1832,59,144,219,299,886,0,112
465,6882,346,31,91,440,336,965,27,336
466,4550,957,56,57,230,247,133,26,246
467,5725,1748,115,155,13,240,121,66,178
468,1285,1767,45,52,240,299,886,0,112
469,4852,2228,56,5,413,90,1384,48,92
470,4645,3820,56,5,346,31,2090,65,156
471,6221,2721,56,16,284,194,1734,66,198
472,5646,3420,56,57,356,76,2285,28,80
473,7503,2621,3,2,69,98,500,66,100
474,4911,438,121,96,241,37,1589,24,49
475,1777,1723,56,99,209,192,679,9,196
476,5128,3908,56,5,448,249,893,50,248
477,3166,1028,56,43,228,0,250,50,0
478,2665,3867,124,68,216,340,963,42,340
479,3817,1616,64,82,222,159,895,66,162
480,6882,2186,56,99,25,162,893,50,165
481,3076,3420,56,57,356,108,1970,28,111
482,3373,3617,56,158,407,168,1345,12,170
483,5686,1800,75,102,268,189,939,9,193
484,2866,1641,56,142,157,91,1231,4,93
485,5300,3820,56,5,346,266,1793,65,265
486,953,1320,56,57,356,341,274,21,341
487,7456,1641,56,142,32,8,726,4,9
488,6118,1437,22,30,359,242,1417,4,241
489,7314,69,56,158,293,249,893,50,248
490,3061,3958,57,71,56,120,1728,18,126
491,1174,2176,117,156,299,156,895,66,113
492,3961,214,56,142,316,91,726,4,93
493,1507,524,56,33,427,231,475,50,231
494,1120,77,56,43,155,249,893,50,248
495,6065,3640,56,142,175,249,1193,50,248
496,1676,2541,56,158,348,249,1193,50,248
497,1217,1735,50,59,216,160,889,0,163
498,3957,2005,56,158,348,249,893,50,248
499,2454,1017,74,101,250,241,1030,8,240
500,4497,1940,56,43,265,249,893,50,248
501,7456,2622,56,142,157,33,1953,8,37
502,6882,2019,56,33,379,249,194,50,248
503,7446,2332,56,99,410,249,1081,50,248
504,557,2450,56,158,125,295,470,22,297
505,204,1985,56,142,197,308,2164,48,250
506,3957,803,56,5,355,27,1227,18,32
507,5846,3742,56,142,197,67,2203,58,295
508,5783,3887,56,142,10,0,1779,50,0
509,248,3291,56,5,311,237,458,4,236
510,5087,1043,56,16,270,0,2258,50,0
511,1120,3114,56,16,313,249,893,50,248
512,101,2883,56,99,56,0,1189,50,0
513,4692,2258,56,142,409,26,78,31,31
514,4372,4014,56,99,238,325,960,21,324
515,3957,1040,56,33,29,290,114,48,69
516,5101,3126,56,57,414,0,2066,50,0
517,5770,2584,56,5,359,173,114,4,176
518,44,2016,112,152,373,13,497,65,15
519,2665,2430,56,5,90,0,2066,50,0
520,425,2234,85,115,259,156,955,66,113
521,4040,1349,56,5,275,141,1364,22,146
522,5394,893,56,57,6,4,757,39,5
523,6853,432,56,5,6,34,323,39,38
524,2183,2220,56,142,376,144,815,56,149
525,7055,3873,100,137,397,169,1338,24,172
526,4808,2584,56,5,359,308,1819,48,250
527,1120,1544,56,142,430,249,893,50,248
528,1175,2280,83,113,259,299,1122,0,112
529,953,497,56,5,9,279,1801,5,279
530,7306,2685,56,57,262,266,1241,65,265
531,6595,1983,56,5,260,321,2158,56,322
532,2439,788,9,65,379,155,2164,48,159
533,557,4156,32,138,270,162,1193,50,165
534,2197,3391,56,99,8,162,893,50,165
535,5105,286,34,163,108,144,1339,56,149
536,777,543,56,5,311,281,78,31,281
537,1443,782,56,43,228,325,274,21,324
538,5771,1794,56,16,37,0,893,50,0
539,3876,638,21,93,241,37,870,24,49
540,6899,3677,56,158,348,162,893,50,165
541,1083,3343,38,135,19,4,2216,39,5
542,3957,674,67,85,240,154,798,0,158
543,4911,3029,56,163,151,169,1196,24,172
544,2517,3857,56,33,440,276,888,27,276
545,2628,2923,56,5,376,249,893,50,248
546,7092,798,39,46,233,200,404,14,202
547,3459,3901,56,5,90,249,893,50,248
548,1324,1238,56,33,357,57,387,3,60
549,2826,1129,56,70,165,161,44,50,164
550,6128,551,56,158,215,162,1193,50,165
551,4550,132,74,101,109,57,2168,3,60
552,6822,410,9,65,349,0,1949,50,0
553,2193,413,56,142,423,0,893,50,0
554,5941,1753,50,59,216,299,1122,0,112
555,2912,1452,71,103,383,276,2087,27,276
556,3929,2447,56,72,248,240,606,66,178
557,2721,2101,56,5,2,120,78,18,126
558,7235,2489,71,10,407,162,893,50,165
559,4916,3682,56,158,254,48,416,22,51
560,4890,1977,56,5,337,315,2158,56,315
561,6840,2114,56,57,70,249,893,50,248
562,5722,1319,56,33,325,290,2225,48,69
563,168,430,56,5,90,207,2285,28,181
564,4324,3493,56,5,355,249,893,50,248
565,1761,2111,56,5,376,249,1193,50,248
566,800,3022,123,170,205,283,2319,24,286
567,543,1762,56,70,335,249,893,50,248
568,924,1274,56,142,346,31,2090,65,156
569,7031,3894,31,91,296,249,893,50,248
570,4034,3477,56,5,82,341,274,21,341
571,1044,1490,56,5,338,0,1189,50,0
572,564,1161,56,16,270,316,272,20,316
573,39,2787,74,101,252,242,1174,4,241
574,1687,1998,31,91,146,249,893,50,248
575,1329,2266,27,35,216,154,879,0,158
576,4477,4240,22,30,161,341,274,21,341
577,748,1978,56,16,60,315,639,56,315
578,3572,3928,72,138,371,250,695,39,251
579,5397,4073,75,102,241,37,638,24,49
580,1120,3275,56,99,12,0,2066,50,0
581,1120,2232,71,103,288,162,60,50,165
582,6358,1193,56,16,156,162,893,50,165
583,2543,3994,56,33,226,162,186,50,165
584,2601,453,56,72,48,17,44,65,20
585,5637,1077,56,5,90,249,893,50,248
586,10,81,56,43,155,294,1108,21,296
587,5669,4070,56,72,128,111,659,6,117
588,7456,1276,56,16,37,249,893,50,248
589,7092,757,58,75,240,156,895,66,113
590,3516,2841,56,142,231,164,1307,26,166
591,2761,1761,56,142,175,325,1615,21,324
592,4897,836,37,44,295,238,1088,50,237
593,2456,2170,56,142,51,274,563,4,274
594,6493,3192,56,43,327,249,893,50,248
595,7047,2352,56,99,432,330,1914,8,329
596,201,2134,35,39,216,154,879,0,158
597,1268,3776,103,97,240,299,881,0,112
598,557,2442,56,158,372,249,1193,50,248
599,4719,3003,56,5,82,249,893,50,248
600,1499,3005,56,5,399,162,893,50,165
601,7048,2284,99,135,216,156,879,66,113
602,5087,3704,56,16,270,0,1189,50,0
603,1794,889,126,175,216,154,879,0,158
604,3610,2433,56,142,367,192,679,9,196
605,4482,1256,56,43,212,329,14,18,328
606,6380,3875,56,33,26,281,2053,31,281
607,2993,331,56,5,90,249,1081,50,248
608,584,3604,56,33,67,266,2090,65,265
609,6811,1569,112,152,321,26,2116,31,31
610,65,955,56,16,373,240,50,66,178
611,7330,1129,56,70,165,161,44,50,164
612,2247,207,56,142,316,20,1780,4,24
613,1507,2063,56,142,84,162,893,50,165
614,167,2543,56,158,348,19,2087,27,23
615,5643,1559,56,142,207,249,893,50,248
616,2461,3237,74,101,83,51,128,34,54
617,5155,268,56,158,101,48,132,22,51
618,5800,262,18,24,327,162,893,50,165
619,3957,2271,56,142,10,194,1429,66,198
620,3880,439,56,158,372,249,1193,50,248
621,91,750,56,158,293,249,1193,50,248
622,4504,2618,56,142,51,20,1780,4,24
623,2872,2707,56,142,409,341,274,21,341
624,4209,182,56,70,335,249,893,50,248
625,2624,2625,56,142,122,33,1914,8,37
626,2432,413,56,5,90,0,893,50,0
627,3957,3657,56,70,99,238,1021,50,237
628,232,1847,88,120,268,222,978,9,222
629,1120,3093,56,33,379,162,1088,50,165
630,4962,3508,56,72,119,282,1476,30,284
631,1372,1940,56,43,327,108,1970,28,111
632,3957,2892,56,70,39,301,384,20,302
